Add|| Speed0.05131059; Full 0.17592; smell3.858596
Add|| Speed0.05848078; Full 0.1149679; smell16.27387
Add|| Speed0.09057194; Full 0.2512465; smell1.882127
Add|| Speed0.02729356; Full 0.06646293; smell13.31632
Add|| Speed0.01988979; Full 0.1163003; smell15.66675
Add|| Speed0.1888243; Full 0.5300171; smell9.327582
Add|| Speed0.5127412; Full 0.3702928; smell5.862606
Add|| Speed0.2877933; Full 0.575096; smell6.706403
Add|| Speed0.4031553; Full 0.7718507; smell8.534161
Add|| Speed0.09628876; Full 0.6442277; smell6.771946
Add|| Speed0.02736309; Full 0.3889673; smell0.5200037
Add|| Speed0.2507644; Full 0.6875662; smell9.177052
Add|| Speed0.4303734; Full 0.6416737; smell2.197923
Add|| Speed0.09687628; Full 0.8542515; smell3.256696
Add|| Speed0.3496642; Full 0.4693112; smell1.031457
Add|| Speed0.04265611; Full 1.810008; smell5.088511
Remove|| Speed0.04440536; Full 0.06487338; smell1.890088
Add|| Speed0.1069068; Full 1.058093; smell4.387091
Remove|| Speed0.04795745; Full 0.06355561; smell2.549262
Add|| Speed0.01528423; Full 0.3127491; smell1.153208
Add|| Speed0.02580423; Full 0.5214908; smell0.6479917
Add|| Speed0.1814201; Full 0.7519382; smell2.444968
Add|| Speed0.2599925; Full 0.6927866; smell1.359118
Add|| Speed0.1416293; Full 1.022361; smell4.306605
Add|| Speed0.2201153; Full 1.06025; smell1.678159
Add|| Speed0.08832704; Full 0.1131692; smell5.867297
Add|| Speed0.09529354; Full 0.06672418; smell5.418938
Add|| Speed0.3667026; Full 0.3954683; smell1.93938
Add|| Speed0.08131792; Full 0.9714214; smell1.827253
Add|| Speed0.2727131; Full 0.3895257; smell1.532472
Add|| Speed0.01690981; Full 0.2807085; smell1.698884
Add|| Speed0.330569; Full 0.5099794; smell5.88716
Add|| Speed0.1659794; Full 1.055121; smell5.502416
Add|| Speed0.1669688; Full 0.6898037; smell3.068868
Add|| Speed0.1586857; Full 0.7008309; smell7.423193
Add|| Speed0.06724603; Full 0.1862576; smell3.815488
Add|| Speed0.04258171; Full 0.1002003; smell8.226603
Add|| Speed0.1742354; Full 0.06070205; smell3.461551
Add|| Speed0.08350701; Full 0.07604039; smell7.331599
Add|| Speed0.2711518; Full 0.572041; smell0.8382423
Add|| Speed0.266468; Full 0.8294423; smell7.296617
Add|| Speed0.151765; Full 0.6857371; smell1.456932
Add|| Speed0.1539567; Full 0.780069; smell2.082145
Add|| Speed0.166967; Full 0.3967375; smell3.699104
Add|| Speed0.06390119; Full 0.1732028; smell5.192683
Add|| Speed0.1057167; Full 0.07303987; smell8.744229
Add|| Speed0.1631871; Full 0.1107986; smell6.237824
Add|| Speed0.1226098; Full 0.07069852; smell6.299829
Add|| Speed0.05619121; Full 0.1449931; smell5.666491
Add|| Speed0.04471992; Full 0.1328427; smell5.991894
Add|| Speed0.302198; Full 0.08711877; smell4.442457
Add|| Speed0.08846307; Full 0.1087438; smell6.512541
Add|| Speed0.2333282; Full 0.8729858; smell1.649851
Add|| Speed0.2017038; Full 0.7834594; smell0.9807012
Add|| Speed0.1766246; Full 0.07348754; smell10.41444
Add|| Speed0.04483995; Full 0.1562682; smell7.448492
Add|| Speed0.03131891; Full 0.04709072; smell7.963521
Add|| Speed0.02863419; Full 0.08540944; smell6.055236
Add|| Speed0.105715; Full 0.07391676; smell2.721351
Add|| Speed0.03960577; Full 0.07986126; smell8.322977
Add|| Speed0.1767228; Full 0.9526054; smell1.794857
Add|| Speed0.140271; Full 0.08410144; smell11.06311
Add|| Speed0.2774766; Full 0.08625454; smell4.571571
Add|| Speed0.08737334; Full 0.06422622; smell8.296816
Add|| Speed0.1465634; Full 0.04520299; smell2.382488
Add|| Speed0.1635711; Full 0.1429058; smell9.160643
Add|| Speed0.4607124; Full 0.5347741; smell5.153643
Add|| Speed0.0875702; Full 0.8000757; smell10.07464
Add|| Speed0.1562774; Full 1.419498; smell4.13481
Add|| Speed0.1505128; Full 0.5056018; smell1.166547
Add|| Speed0.2018015; Full 0.5898921; smell0.7024233
Add|| Speed0.02152935; Full 0.05228359; smell7.709357
Add|| Speed0.1108947; Full 0.05899883; smell2.497618
Add|| Speed0.3748013; Full 0.8127635; smell7.107306
Remove|| Speed0.1562621; Full 0.4628855; smell6.430162
Add|| Speed0.06760308; Full 1.058812; smell8.709202
Add|| Speed0.04929626; Full 0.5100477; smell2.776508
Add|| Speed0.6824296; Full 0.3532578; smell3.880896
Add|| Speed0.06592469; Full 0.864174; smell1.944946
Remove|| Speed0.09240282; Full 0.1242753; smell2.685148
Add|| Speed0.04968581; Full 0.6000259; smell3.817597
Add|| Speed1.123331; Full 0.2781153; smell4.04492
Add|| Speed0.2268148; Full 0.205004; smell4.580225
Add|| Speed0.0959181; Full 1.007921; smell2.45276
Add|| Speed0.05476619; Full 2.230762; smell3.809837
Add|| Speed0.1578543; Full 0.6823292; smell2.599285
Add|| Speed0.1334892; Full 1.096756; smell4.120451
Add|| Speed0.2613769; Full 0.4585059; smell3.7467
Add|| Speed0.07941575; Full 0.5392919; smell2.90133
Add|| Speed0.1558324; Full 0.184149; smell5.941381
Add|| Speed0.1018972; Full 0.5510592; smell1.445843
Add|| Speed0.1334188; Full 0.8274816; smell3.918059
Add|| Speed0.04600307; Full 0.2871848; smell2.157693
Add|| Speed0.05509355; Full 0.525228; smell2.942239
Remove|| Speed0.1114482; Full 0.1185235; smell7.224267
Remove|| Speed0.03960542; Full 0.1137143; smell13.76142
Remove|| Speed0.04285377; Full 0.07996214; smell12.88062
Remove|| Speed0.04889032; Full 0.1109867; smell18.88206
