Creature ID,Birth Time,Death Time,Life Time,Generation,Speed,Smell Radius,Full,Angle Change
253,8999,9022,23,21,0.1382343,7.826812,0.5672947,0.5972695
254,9003,9020,17,14,0.1393919,10.24212,1.899681,0.259505
255,9004,9017,13,22,0.05794998,7.786429,0.285089,0.5508807
256,9005,9019,14,23,0.04912753,5.858809,0.4193299,0.4316692
257,9006,9202,196,11,0.1009068,2.718062,4.70455,0.176314
258,9006,9071,65,16,0.03246981,4.873336,1.09387,0.3690771
259,9006,9094,88,11,0.06362222,2.844047,2.87587,0.06532349
260,9006,9019,13,21,0.1656631,18.43954,0.5163121,0.9056119
261,9007,9047,40,15,0.0471068,7.27454,1.096414,0.2743561
262,9010,9040,30,11,0.0850752,5.449222,1.499635,0.1877639
263,9011,9046,35,22,0.08023947,16.60593,0.7326059,0.7336136
264,9013,9039,26,14,0.09694749,8.561594,1.32535,0.07073535
265,9013,9145,132,15,0.1656137,6.452258,2.799949,0.123763
266,9013,9026,13,22,0.04693238,8.415742,0.4478743,0.5281633
267,9014,9153,139,16,0.02515362,5.056344,1.614243,0.2167411
268,9014,9021,7,23,0.0948319,11.14293,0.2936208,0.4076733
269,9015,9049,34,15,0.05730182,4.360245,2.276385,0.3402332
270,9016,9037,21,12,0.09760262,3.92842,1.498032,0.1536131
271,9017,9051,34,23,0.03975001,13.68889,0.9269688,0.6465049
272,9018,9105,87,9,0.1801901,2.355989,2.018928,0.1762846
273,9019,9042,23,15,0.04282418,7.317961,0.8491808,0.04692353
274,9020,9051,31,14,0.05565733,17.47014,1.225336,0.1284217
275,9020,9101,81,16,0.05301131,5.901577,1.060241,0.05276173
276,9021,9264,243,10,0.03443028,1.672492,2.877563,0.1264393
277,9021,9044,23,13,0.1888004,1.133019,1.449758,0.06196368
278,9021,9141,120,14,0.1184878,8.899508,2.196005,0.1626047
279,9025,9055,30,11,0.08838178,2.497132,2.851707,0.2995427
280,9025,9124,99,17,0.02472663,3.904633,0.8473131,0.2470176
281,9027,9336,309,13,0.07993084,7.968242,3.283056,0.1199214
282,9029,9068,39,9,0.06415949,1.961344,2.859865,0.05663738
283,9032,9132,100,23,0.07858066,19.19698,1.096229,0.7538178
284,9033,9059,26,14,0.1672275,1.698743,1.31599,0.08165649
285,9034,9504,470,10,0.09421774,3.452219,2.733381,0.1685746
286,9034,9043,9,12,0.3011941,7.13241,2.871167,0.1413002
287,9034,9113,79,9,0.02346564,2.620897,1.250596,0.1600695
288,9040,9064,24,24,0.08012085,9.651894,1.158426,0.6044148
289,9044,9461,417,11,0.08102425,2.533824,2.94074,0.06794599
290,9045,9059,14,25,0.0590838,8.551997,0.6616191,0.3286791
291,9046,9078,32,14,0.0531177,17.5523,0.8428234,0.1038166
