Creature ID,Birth Time,Death Time,Life Time,Generation,Speed,Smell Radius,Full,Angle Change
121,12630,12792,162,15,0.00530195,3.150912,0.7132317,0.0856727
122,12634,12733,99,12,0.03734847,1.094945,2.029976,0.1889256
123,12637,12790,153,13,0.01111054,2.888343,1.340338,0.1148174
124,12649,13025,376,9,0.02802887,3.939685,2.599269,0.520172
125,12653,12780,127,12,0.04733421,1.732512,1.523044,0.1325658
126,12670,13058,388,12,0.01983902,1.066945,1.420464,0.07678052
127,12672,12708,36,12,0.01780795,1.937638,0.4129546,0.1626408
128,12673,12832,159,11,0.01216853,1.992936,1.620157,0.0351879
129,12673,12719,46,13,0.01362931,1.915156,0.3842595,0.1891403
130,12680,12732,52,10,0.03395639,1.028666,1.051233,0.09563595
131,12684,12738,54,13,0.04147406,2.432308,1.321903,0.1982559
132,12686,12769,83,10,0.02565431,3.217653,1.555586,0.2017294
133,12686,13015,329,14,0.008109,3.954766,0.8854657,0.1186851
134,12692,12740,48,13,0.03568508,1.661088,1.662704,0.08844905
135,12693,12816,123,14,0.01491204,3.332152,1.196326,0.1536157
136,12695,12958,263,11,0.06047704,1.87679,4.930192,0.1362613
137,12697,12850,153,11,0.01183797,2.051538,1.278798,0.2304928
138,12703,12730,27,13,0.06125695,1.202377,1.473346,0.1154789
139,12705,14602,1897,6,0.03049646,5.01208,9.08338,0.3884129
140,12713,12900,187,15,0.004058668,5.764327,0.5077477,0.1121881
141,12714,12887,173,16,0.004365161,8.018406,0.5392531,0.1370257
142,12729,13101,372,15,0.00620909,4.99455,0.8474897,0.09769312
143,12740,14622,1882,7,0.0160658,4.604093,7.472548,0.5533785
144,12744,16065,3321,5,0.04841983,6.462566,16.04853,0.6695894
145,12756,15065,2309,5,0.03405143,6.138279,7.738452,0.4261973
146,12759,12940,181,14,0.006233343,3.165897,0.64674,0.1030351
147,12775,12939,164,14,0.007730317,1.701921,1.100574,0.08418512
148,12841,12951,110,14,0.009589603,3.569671,0.8802947,0.07038271
149,12843,13340,497,15,0.00797322,3.375164,1.265297,0.1665312
150,12845,13029,184,8,0.04746594,2.614369,11.42723,0.3354383
151,12877,13033,156,16,0.00892359,5.264713,0.7898217,0.06430466
152,12879,13163,284,6,0.0173061,3.882525,6.101001,0.7131987
153,12886,13039,153,11,0.01398314,3.755444,1.672112,0.2187791
154,12893,13537,644,12,0.01222781,2.392617,1.787104,0.1977609
155,12894,14981,2087,6,0.0519274,3.421407,9.462341,0.3798351
156,12908,13159,251,16,0.007977138,3.963416,0.7528522,0.122223
157,12958,13777,819,8,0.03239694,7.594119,7.395359,0.7515712
158,12973,13192,219,13,0.02600711,1.537867,1.730586,0.09494162
159,12977,13631,654,17,0.007369288,2.138965,0.8859922,0.1831629
160,12981,15054,2073,6,0.0886343,4.805039,23.17845,0.3822249
161,13022,13560,538,13,0.004140019,2.725144,1.783039,0.2528589
162,13053,13413,360,13,0.006647757,3.482774,1.382895,0.2943017
163,13083,13249,166,18,0.01264996,1.254082,1.140207,0.1682835
164,13099,13547,448,14,0.003722885,3.807623,0.8357948,0.2596628
165,13100,13320,220,15,0.004119946,2.330521,1.227487,0.2081248
166,13113,13745,632,9,0.03720988,5.927438,7.640285,0.5811859
167,13119,14443,1324,7,0.05342377,3.874809,5.80675,0.3519736
168,13130,13688,558,7,0.03189617,3.035791,12.61841,0.3715954
169,13149,13484,335,19,0.009509649,1.462252,1.510196,0.09217393
170,13152,13302,150,14,0.005850567,4.510762,0.7686821,0.4050691
171,13153,13333,180,15,0.004810683,2.809384,0.7198805,0.4234205
172,13156,16138,2982,6,0.0009929123,4.884383,1.550598,2.446906
173,13207,13534,327,13,0.01234803,2.722513,2.223616,0.1732777
174,13211,13440,229,15,0.005468172,2.607044,0.8733878,0.1903227
175,13228,16516,3288,4,0.01085349,1.557302,10.0273,0.6946726
176,13241,14566,1325,8,0.0588548,2.901267,9.130968,0.4005769
177,13249,13373,124,18,0.008591633,2.191423,0.784198,0.1131917
178,13264,13447,183,20,0.01412679,1.526549,1.469385,0.1016226
179,13273,13335,62,21,0.01636578,1.074484,0.85273,0.06577809
180,13274,13315,41,22,0.02967118,1.395836,0.5317667,0.04087643
181,13293,13347,54,23,0.01959416,1.866422,0.3117955,0.04808699
182,13294,13353,59,23,0.01024853,0.9442054,0.5433106,0.05692346
183,13294,13321,27,24,0.03285769,2.018823,0.4284662,0.03484434
184,13301,13313,12,25,0.06155957,1.185893,0.2509841,0.05028448
185,13302,13313,11,25,0.06011827,1.721537,0.3697502,0.04717581
186,13302,13308,6,26,0.07966343,1.21027,0.1307732,0.07094207
187,13303,13311,8,27,0.03504224,0.8645578,0.103413,0.09538405
188,13310,18526,5216,2,0.00341738,3.92458,18.96612,0.6911705
189,13318,13407,89,24,0.012029,1.264839,0.426242,0.03617109
190,13319,13340,21,24,0.01400935,2.408557,0.1730965,0.03702202
191,13319,13351,32,25,0.01748339,1.833485,0.5833217,0.01890535
192,13320,13340,20,25,0.007187675,1.610205,0.1162247,0.02746268
193,13321,13334,13,26,0.01105256,0.8142716,0.1200385,0.03828496
194,13337,13434,97,21,0.01615949,2.222583,1.107612,0.09238235
195,13356,13815,459,18,0.003748178,1.925683,0.8556714,0.2281923
196,13362,13744,382,7,0.06265716,5.022934,13.59513,0.2884803
197,13364,13411,47,25,0.01114004,1.723194,0.3057178,0.02026812
198,13365,13388,23,25,0.022331,1.451411,0.4366826,0.01928341
